Temperature (K),Bridge 2 Resistivity (Ohm)
1.828949988,7589.095723
1.82950002,7582.448848
1.839450002,7510.681426
1.848550022,7446.842773
1.866699994,7324.83084
1.884750009,7217.617324
1.911150038,7036.493027
1.956700027,6770.252266
2.000399947,6543.105625
2.025599957,6388.711582
2.13804996,5846.311094
2.152050018,5765.154102
2.545750022,4472.508867
2.906399965,3740.911182
3.260800004,3195.95457
3.636900067,2797.17127
4.004899979,2498.9196
4.374300003,2260.034912
4.731299877,2073.324536
5.064099789,1933.083022
5.399649858,1811.474434
5.756500006,1701.372339
6.110499859,1605.655654
6.457799911,1525.390347
6.809350014,1451.572568
7.161049843,1387.057158
7.501000166,1332.214722
7.847300053,1279.523438
8.218449593,1230.046079
8.552199841,1191.632451
9.272500038,1105.050884
9.699500084,1070.021846
9.835100174,1057.472617
10.02840042,1043.343604
10.47734976,1005.930125
10.80900002,981.673645
11.13324976,959.2276831
11.48850012,936.1976978
11.82765007,915.3114844
12.16960001,895.0972266
12.50060034,876.8972583
12.85395002,858.3781396
13.18375015,842.2949536
13.51259995,826.5210791
13.86509991,810.6020654
14.21480036,795.3685132
14.54874992,781.6487988
14.89354992,768.0850806
15.24499989,754.8274951
15.58085012,742.744231
15.9282999,730.6156348
16.25819969,719.6703882
16.58950043,709.1583765
16.9411993,698.2286426
17.26619911,688.4609009
17.6114502,678.4398169
17.94559956,669.1779858
18.27489948,660.2778442
18.59689999,651.7783618
18.96854973,642.4135938
19.30220032,634.1143872
19.65129948,625.8552344
20.00035,617.6715234
20.36085033,609.7848145
20.70374966,602.3430273
21.01815033,595.6685181
21.36205006,588.5109131
21.71120071,581.5192285
22.06665039,574.5872705
22.42129993,567.902019
22.77340031,561.4046069
23.10505009,555.5340918
23.42514992,549.8804321
23.76889992,543.9283838
24.11205006,538.2389429
24.44059944,532.8809424
24.79594994,527.2615625
25.13494968,522.0489575
25.46245003,517.0657178
25.81130028,511.8857642
26.17385006,506.5947449
26.49935055,501.9870557
26.82664967,497.4417395
27.16244984,492.913396
27.50265026,488.3578015
27.83069992,484.0941772
28.15699959,479.8519568
28.48794937,475.7224609
28.82660007,471.6072583
29.16160011,467.5617297
29.48554993,463.6503479
29.8196497,459.7084875
30.16065025,455.8799158
30.49520016,452.0972034
30.83714962,448.2707446
31.16399956,444.7462878
31.5223999,440.9550354
31.86779976,437.2659412
32.19325066,433.9256323
32.52864838,430.5519421
32.85089874,427.3414429
33.20125008,423.9068323
33.53705025,420.6856006
33.85579872,417.6896106
34.19945145,414.4944556
34.53429985,411.4889661
34.89465141,408.2368152
35.24309921,405.184353
35.58670044,402.2205005
35.92379951,399.312959
36.2615509,396.5441565
36.60354996,393.6925403
36.9416008,390.9784778
37.271101,388.3406897
37.59445,385.8132593
37.92740059,383.212688
38.27669907,380.5326538
38.61030006,378.0583557
38.95664978,375.4372888
39.30635071,372.8719324
39.6412487,370.4759448
39.97634888,368.0929749
40.34524918,365.5065198
40.69835091,363.0795056
41.02705002,360.8227478
41.36834908,358.5714905
41.71585083,356.243269
42.04504967,354.0675574
42.37750053,351.9603418
42.72750092,349.7247229
43.07100105,347.5504773
43.41275024,345.4718103
43.75430107,343.3504846
44.08130074,341.4135376
44.41910172,339.4012354
44.76555061,337.3563672
45.1283493,335.2662244
45.46369934,333.3484875
45.80735016,331.4024609
46.1868515,329.2966992
46.51250076,327.508949
46.84525108,325.6814392
47.18580055,323.8494836
47.51239967,322.1409973
47.83539963,320.4066882
48.14729881,318.8094922
48.47570038,317.1047388
48.81769943,315.4049597
49.16760063,313.6204333
49.49774933,312.0012244
49.85239983,310.2420032
50.19614983,308.576908
50.5489502,306.8981409
50.8737011,305.3838062
51.19910049,303.8475818
51.52910042,302.317948
51.86104965,300.7933435
52.20025063,299.2614075
52.55384827,297.6804431
52.90155029,296.1881506
53.21294975,294.8023828
53.56399918,293.2689453
53.91214943,291.781272
54.25029945,290.362406
54.58144951,288.9663721
54.90394974,287.6234119
55.23649979,286.2548511
55.57785034,284.8705713
55.92329979,283.493822
56.27094841,282.0925439
56.62694931,280.6918506
56.9782505,279.3422278
57.3281002,278.0061938
57.67850113,276.6642371
58.02390099,275.3627307
58.36219978,274.1064868
58.69265175,272.8848279
59.02429962,271.6719482
59.36994934,270.4325586
59.73884964,269.1108118
60.08500099,267.876167
60.4171505,266.7271045
60.76375008,265.5078638
61.10124969,264.356272
61.45705032,263.1447961
61.81419945,261.937345
62.167099,260.7400684
62.5013504,259.632522
62.82179832,258.5802344
63.17329979,257.4457263
63.50839996,256.3323145
63.8635006,255.2110486
64.19445038,254.1756866
64.53639984,253.1242053
64.86504745,252.0812341
65.20835114,251.0141547
65.54550171,249.982865
65.87280273,249.0012628
66.20510101,247.9993018
66.53584671,247.0125269
66.85540009,246.0446503
67.20064926,245.0615759
67.5298996,244.1154468
67.86970139,243.1156763
68.21710205,242.1347693
68.57299805,241.1282751
68.92070007,240.146983
69.2649498,239.1863495
69.61275101,238.2335614
69.93524933,237.3461646
70.29320145,236.3873083
70.64754868,235.4368878
70.99284744,234.5178784
71.31705093,233.6508868
71.67269897,232.7355109
72.00154877,231.8895721
72.33094788,231.0435773
72.67185211,230.168194
72.97985077,229.3970197
73.29919815,228.5865082
73.63980103,227.7438672
73.96470261,226.933056
74.29339981,226.1259155
74.6297493,225.2994666
74.96070099,224.509801
75.28009796,223.7428125
75.65090179,222.8595496
75.99100113,222.0404785
76.32065201,221.245318
76.66830063,220.4535822
77.00110245,219.6929816
77.35589981,218.8802258
77.70534897,218.0888831
78.05335236,217.2992523
78.38954926,216.5350104
78.72629929,215.7910278
79.07284927,215.0292841
79.41469955,214.2747803
79.75175095,213.5628131
80.07454681,212.8577795
80.39830017,212.1710162
80.73699951,211.465567
81.08530045,210.7107532
81.41309738,210.0201141
81.75025177,209.3356946
82.0679512,208.6583502
82.40855026,207.9676312
82.72164917,207.3267542
83.08549881,206.5864496
83.43289948,205.8991199
83.75839996,205.2490601
84.11264801,204.5422339
84.46059799,203.8666638
84.7676506,203.252691
85.09284973,202.6187927
85.43305206,201.9633893
85.78684998,201.2850061
86.13915253,200.6150226
86.47545242,199.9879449
86.82515335,199.3273627
87.15660095,198.7054846
87.49160004,198.0845831
87.84114838,197.4433026
88.1929512,196.8153638
88.54354858,196.175954
88.88259888,195.5686072
89.21735001,194.9652289
89.5727005,194.3430719
89.91064835,193.7329858
90.2412529,193.1642645
90.59659958,192.5458667
90.92485046,191.9781158
91.24919891,191.4225354
91.58310318,190.8542041
91.93529892,190.2596802
92.2677002,189.6971252
92.60079956,189.1449219
92.93619919,188.5839307
93.26715088,188.036214
93.59429932,187.4976868
93.92890167,186.9407935
94.26539993,186.3963568
94.6060524,185.8390137
94.94820023,185.2715131
95.25960159,184.7789288
95.59690094,184.2518524
95.94915009,183.7061328
96.2847023,183.1757605
96.61265182,182.6522717
96.94469833,182.1373914
97.25804901,181.660155
97.57720184,181.1830389
97.92939758,180.661076
98.26824951,180.1263177
98.60710144,179.618844
98.96374893,179.0975507
99.30149841,178.5724255
99.61254883,178.1488727
99.95594788,177.6096582
100.2774506,177.1239056
100.5891495,176.6692322
100.9055519,176.2162396
101.2395973,175.7445074
101.5757027,175.2658582
101.9004478,174.8066895
102.2280006,174.3338525
102.5526009,173.8785474
102.8974991,173.4225922
103.2523499,172.9076544
103.6006012,172.4499847
103.9278984,171.9647571
104.2551994,171.5154022
104.5754509,171.0795331
104.9263496,170.6126495
105.2556,170.1633569
105.5753479,169.7386816
105.8997993,169.3173956
106.2202034,168.8834058
106.562851,168.431369
106.8827515,168.0197742
107.2115517,167.6027905
107.5574493,167.1505219
107.9134521,166.673158
108.2478523,166.2393707
108.574749,165.8166351
108.9138985,165.393631
109.2592506,164.9773016
109.5940514,164.5409528
109.9249992,164.1275977
110.2491531,163.7195898
110.5757027,163.3216522
110.9181976,162.9108124
111.2567024,162.4860046
111.5888481,162.0737976
111.9185486,161.6782513
112.2388992,161.281402
112.5833015,160.8897784
112.9293518,160.4620496
113.2933502,160.033075
113.6151505,159.6615308
113.9465981,159.2775085
114.2813492,158.8921875
114.6185493,158.4772284
114.9575005,158.098009
115.3022003,157.697149
115.6522026,157.2906549
115.9968529,156.8909644
116.3174019,156.5310651
116.6502495,156.1541748
116.9734001,155.7989447
117.2968025,155.4352106
117.6200981,155.0633508
117.9215508,154.7291541
118.2445526,154.3788959
118.5688972,154.0374109
118.9044495,153.6890735
119.2504997,153.2876605
119.5996513,152.9423065
119.9294014,152.5595874
120.266552,152.1975897
120.6008987,151.8580579
120.9356995,151.4986536
121.2684517,151.1430322
121.6038475,150.7894269
121.9328995,150.4392725
122.2551003,150.1065814
122.6064987,149.7496124
122.9273987,149.4025055
123.2480011,149.0751959
123.6025505,148.7321741
123.9255486,148.3850635
124.2521019,148.0548303
124.5746994,147.7356042
124.895401,147.4117462
125.2322006,147.0851947
125.5606003,146.7503033
125.8909492,146.4279059
126.2220535,146.1046259
126.5579987,145.7763477
126.9001999,145.4442316
127.2265015,145.1264966
127.5455017,144.8209229
127.8986015,144.4782306
128.2258987,144.1706726
128.5641479,143.8490491
128.9055481,143.52146
129.247551,143.1896234
129.5498428,142.9045825
129.8744049,142.6020984
130.1991501,142.287204
130.5420532,141.9706934
130.8911514,141.67495
131.2181473,141.3566254
131.5391464,141.0627759
131.8734055,140.7537646
132.1960983,140.459978
132.5231552,140.1646936
132.8446503,139.8780597
133.1678467,139.5997058
133.5216522,139.2599835
133.843956,138.9773743
134.178299,138.6867688
134.5184479,138.3897992
134.8708496,138.1029828
135.2264481,137.7636395
135.5618439,137.4823248
135.8896484,137.1905444
136.2292023,136.8979694
136.5718002,136.6111743
136.889801,136.330744
137.2450943,136.0570544
137.5836487,135.7486597
137.9172516,135.4791107
138.2489548,135.1789215
138.5719528,134.9093414
138.8754501,134.6621765
139.1995544,134.3978693
139.5231476,134.1221466
139.8347015,133.8698767
140.1539459,133.6079822
140.5114517,133.3153387
140.8357544,133.0567072
141.160202,132.7956
141.4863052,132.5361627
141.822197,132.2604065
142.151001,131.9958801
142.4808426,131.7463428
142.8137436,131.4726263
143.157547,131.2040942
143.4841003,130.9391083
143.8234482,130.676355
144.1556931,130.4278815
144.4723969,130.1713635
144.8162003,129.9104236
145.1497498,129.6533765
145.4735031,129.4091754
145.7982483,129.1494666
146.1397476,128.8931323
146.4736481,128.6517358
146.7789536,128.4249261
147.1308975,128.1463519
147.4487991,127.9091946
147.774704,127.6678171
148.0899506,127.4318262
148.4322052,127.1810858
148.7724991,126.9561383
149.1089478,126.6927576
149.4446945,126.4473462
149.7787018,126.2015829
150.1185989,125.9564972
150.4386978,125.7304404
150.760704,125.5005658
151.0798492,125.2687305
151.4043503,125.0345074
151.7416458,124.7940414
152.0699997,124.5527319
152.3887024,124.3286951
152.7307968,124.0949673
153.0480957,123.8687827
153.3787994,123.643024
153.7086945,123.417489
154.0526962,123.178309
154.3761978,122.9518481
154.7097015,122.7247684
155.0505524,122.492175
155.3820496,122.2636041
155.7050018,122.0445404
156.0270004,121.8335785
156.3347015,121.6290323
156.6563034,121.414137
156.9692459,121.2069989
157.3087006,120.9804764
157.6637955,120.7379712
158.0017471,120.512753
158.3387985,120.2882666
158.6795502,120.0677798
159.0007019,119.8573468
159.3214035,119.6491309
159.6585464,119.4302411
159.9844513,119.2220868
160.306694,119.0157404
160.6311493,118.8046872
160.9675064,118.586062
161.3064499,118.3648706
161.6287003,118.1621384
161.9562988,117.9632358
162.276001,117.7630405
162.5987549,117.5608182
162.9172516,117.3624515
163.2434998,117.1578381
163.5875473,116.944187
163.9122009,116.7340466
164.2356033,116.5361819
164.555954,116.3402731
164.8913956,116.1328671
165.2174988,115.9335178
165.5393982,115.7310721
165.8591003,115.5351761
166.1778488,115.3452368
166.5093994,115.1523071
166.8361969,114.9569751
167.1645508,114.7558414
167.4653473,114.5766626
167.7966003,114.3756967
168.1353455,114.1757535
168.4884491,113.9836102
168.8118515,113.7806424
169.1637039,113.5745868
169.4898987,113.3809256
169.8397522,113.1724423
170.1679001,112.9829074
170.4912491,112.7985889
170.7990036,112.6214664
171.1206055,112.4383173
171.4714508,112.2352234
171.797493,112.0510175
172.1220016,111.8667264
172.4621506,111.6729935
172.8097992,111.4798477
173.139801,111.2883313
173.4556503,111.112811
173.7901993,110.9289169
174.1308975,110.7392926
174.4379959,110.5667819
174.7523499,110.3907861
175.0740967,110.2171893
175.4002991,110.0408804
175.7308044,109.8527939
176.0687485,109.6662973
176.410202,109.4813638
176.7614059,109.3041046
177.0884018,109.1281406
177.4289474,108.9406702
177.77285,108.7724493
178.1330032,108.5635559
178.4424515,108.391344
178.7621994,108.2226678
179.0812454,108.0523373
179.4295502,107.8731842
179.7660522,107.6921774
180.1124496,107.515658
180.438652,107.3449478
180.7703018,107.1701086
181.0989532,107.000585
181.4300537,106.8332312
181.751297,106.6671988
182.0783997,106.5008954
182.4283524,106.3190753
182.7640457,106.1513681
183.0884018,105.9873856
183.4052505,105.8268231
183.7386017,105.6514828
184.0672989,105.4865891
184.3897476,105.3273819
184.7204514,105.1621158
185.067955,104.995502
185.3989029,104.8271176
185.7312012,104.6667966
186.072998,104.4994012
186.4026947,104.3387045
186.7220535,104.1787231
187.0524979,104.0163687
187.3722,103.8623981
187.7137985,103.6990762
188.0483017,103.5390298
188.3770523,103.3753339
188.6922989,103.2247342
189.0427017,103.0539651
189.3730469,102.8994403
189.7091522,102.7386066
190.0428009,102.5797543
190.3874054,102.4202942
190.7270508,102.2574902
191.0650024,102.1000897
191.4074478,101.939584
191.7374496,101.7845401
192.0767517,101.6295264
192.4028015,101.4768042
192.7309494,101.3257913
193.0736542,101.1694168
193.4078979,101.017728
193.72155,100.8742081
194.0591507,100.7206851
194.4153519,100.5618182
194.7595062,100.4079947
195.063652,100.2709332
195.4034958,100.112095
195.7231445,99.98211975
196.0951996,99.81587128
196.4395981,99.66922546
196.7877502,99.51620178
197.1526031,99.35301941
197.5050507,99.19231628
197.8433533,99.04625244
198.1946945,98.89064514
198.5580063,98.7342099
198.8980026,98.58561646
199.2430038,98.43782654
199.6022491,98.28203888
199.9464035,98.13301636
200.305748,97.97859802
200.6483459,97.82943146
200.9952469,97.68283691
201.3374481,97.53667297
201.6883011,97.39589386
202.0491486,97.23978821
202.4149017,97.08573853
202.7374496,96.94370178
203.0949478,96.79278839
203.4176483,96.65898743
203.764801,96.51979797
204.1097488,96.37659912
204.4521027,96.23637543
204.7966995,96.09066193
205.1518021,95.94706848
205.468399,95.81518707
205.8153,95.67412262
206.1546478,95.53654724
206.5328522,95.38155609
206.8608017,95.24925964
207.2033997,95.11477295
207.5455017,94.97882202
207.8885498,94.84015594
208.2265549,94.70626617
208.5601044,94.57044861
208.9130554,94.42234802
209.28965,94.27276581
209.6352997,94.13878632
209.9824524,94.00143982
210.3238983,93.86476654
210.6920013,93.72037354
211.0350037,93.58421082
211.3746033,93.45276062
211.7275543,93.31662445
212.0610046,93.18916779
212.4102478,93.05151581
212.7471008,92.91916595
213.1156998,92.77861786
213.4643936,92.64758514
213.8066483,92.5193985
214.1608963,92.38502106
214.5271454,92.24703156
214.8757935,92.11618103
215.2192001,91.9865863
215.5586472,91.85922363
215.9045029,91.73031311
216.2508011,91.59938019
216.6070023,91.46722015
216.9347,91.3461203
217.2990952,91.21375214
217.6387024,91.08839233
217.9796524,90.96427612
218.3249512,90.83590973
218.6788025,90.7069574
219.0252533,90.58182373
219.3971024,90.44680969
219.7472992,90.3197699
220.0951462,90.19571899
220.4391479,90.07147186
220.7870026,89.94484253
221.1114502,89.8299231
221.4596939,89.70666931
221.8102493,89.58434479
222.1824493,89.45255035
222.5331497,89.32969299
222.8778534,89.20832855
223.2442017,89.07966675
223.5726471,88.96406189
223.9185486,88.84274963
224.267395,88.7224469
224.6024475,88.60776398
224.9444504,88.49009399
225.3170547,88.36122467
225.655899,88.24427673
225.9980011,88.12807587
226.3621521,88.00440826
226.6924515,87.8910257
227.041748,87.77252258
227.3819962,87.65864166
227.7241974,87.5461026
228.066803,87.43116577
228.4079971,87.31732239
228.7497025,87.19944489
229.1116943,87.07972931
229.4562531,86.96515686
229.8043518,86.85021149
230.1687012,86.72817322
230.5251007,86.61300201
230.8689499,86.50074341
231.2408981,86.38087036
231.5850525,86.26934723
231.9206467,86.15872925
232.2914429,86.03636658
232.6326065,85.92651184
232.9786987,85.81604553
233.2978516,85.71150177
233.6487961,85.59979431
234.0125427,85.48352234
234.3627472,85.37168884
234.6949005,85.26902802
235.058548,85.15528137
235.403595,85.04530426
235.7510452,84.93584015
236.0871964,84.82626129
236.4359512,84.71790558
236.7746964,84.6116394
237.1341019,84.50117249
237.4893951,84.39164154
237.8510971,84.28019196
238.1978989,84.17027924
238.5437012,84.06394196
238.9057999,83.95400391
239.2514496,83.84862518
239.6146011,83.73671387
239.9760056,83.62686035
240.3257523,83.52132477
240.6739502,83.41687805
241.0177002,83.31254761
241.3905029,83.20002136
241.728096,83.09927734
242.0794449,82.99570099
242.4376984,82.89080872
242.7948532,82.78590698
243.121048,82.6877829
243.4694977,82.58488922
243.8431473,82.47478546
244.1729507,82.37904114
244.5222015,82.27402802
244.8689499,82.17345093
245.2261963,82.0708905
245.581398,81.96689697
245.9252472,81.86447266
246.2793961,81.76192535
